method,full-accuracy,rand-index
Auto-Suggest,0.8666666666666667,0.9703703703703703
Affinity,0.9333333333333333,0.9555555555555556
Type-Rules,0.8666666666666667,0.9111111111111112
Min-Emptiness,1.0,1.0
Balanced-Split,0.8666666666666667,0.9111111111111112
