operator,timestamp,train_examples,train_positives,train_pos_ratio,test_examples,test_positives,test_pos_ratio,model_type,n_estimators,learning_rate,max_depth,training_time,num_features,accuracy,train_accuracy,test_accuracy,train_precision,test_precision,precision@1,ndcg@1,precision@2,ndcg@2,top_feature_1,importance_1,top_feature_2,importance_2,top_feature_3,importance_3,top_feature_4,importance_4,top_feature_5,importance_5
join,2025-05-18 11:18:14,4243,57,0.01343389111477728,1061,14,0.013195098963242224,GradientBoostingRegressor,100,0.1,3,0.5102994441986084,21,0.9896324222431668,0.9988215884987037,0.9896324222431668,0.9193548387096774,0.5882352941176471,0.0,0.0,0.0,0.0,jaccard_similarity,0.5872735912128145,right_distinct_ratio,0.24652480439315916,right_absolute_position,0.04992472125669823,left_absolute_position,0.04525441507623119,left_to_right_containment,0.036085075213257954
join_type,2025-05-18 11:18:20,64,16,GradientBoostingRegressor,100,0.1,3,1.500295877456665,20,0.5,1.0,0.5,0.5454545454545454,0.6666666666666666,0.4,0.5,0,0.0,right_row_count,0.21856599307130917,left_row_count,0.19503307864128955,non_key_col_overlap_ratio,0.11551456886644597,row_count_ratio,0.10304293518256398,col_count_ratio,0.08709802591343309
groupby,2025-05-18 11:26:58,1755,104,0.05925925925925926,439,26,0.05922551252847381,GradientBoostingClassifier,100,0.1,3,0.8309874534606934,16,0.9635535307517085,0.9777777777777777,0.9635535307517085,0.9710144927536232,0.9166666666666666,1.0,0.9166666666666666,1.0,0.9166666666666667
pivot,2025-05-18 11:27:57,15,13,0.8666666666666667,0.9703703703703703,AMPT,Stoer-Wagner
unpivot,2025-05-18 11:28:34,12,6,0.5,0.75,0.5480676328502415,0.576388888888889,CMUT,Greedy
